"","Entrez","Ensembl","HGNC","SU-aGBM5_DMSO_1","SU-aGBM5_DMSO_2","SU-aGBM5_DT24_1","SU-aGBM5_DT24_2","SU-aGBM5_DT48_1","SU-aGBM5_DT48_2"
"14046","54862","ENSG00000132024","CC2D1A",638,625,583,622,761,694
"16890","79883","ENSG00000132000","PODNL1",66,77,230,204,264,260
"18651","90379","ENSG00000132017","DCAF15",621,578,512,513,523,564
"5631","5989","ENSG00000132005","RFX1",434,416,353,455,491,573
"19534","117579","ENSG00000171136","RLN3",0,0,0,0,0,0
"8598","9466","ENSG00000104998","IL27RA",318,266,166,173,218,202
"24468","342979","ENSG00000187867","PALM3",2,1,8,7,2,3
"19897","126037","ENSG00000228887","EEF1DP1",2,6,7,7,9,9
"19146","113230","ENSG00000141854","MISP3",36,38,57,54,75,87
"29639","646457","ENSG00000188032","C19orf67",1,0,3,0,2,0
"18649","90378","ENSG00000141858","SAMD1",891,809,862,945,1065,1007
"5239","5566","ENSG00000072062","PRKACA",5479,5559,5658,5910,6907,7689
"14693","55723","ENSG00000105011","ASF1B",1282,1161,1235,1145,1130,1374
"39444","100507373","ENSG00000267169","ADGRL1-AS1",60,58,48,52,53,66
"10388","22859","ENSG00000072071","ADGRL1",87,125,84,102,183,162
"54974","106480984","ENSG00000240803","RN7SL231P",0,0,0,0,0,0
"47860","105372288","ENSG00000266913","LINC01841",0,0,1,3,4,0
"43683","101928845","ENSG00000267147","LINC01842",0,2,8,3,5,14
"881","976","ENSG00000123146","ADGRE5",6836,6613,5596,5418,7295,8048
"9293","10212","ENSG00000123136","DDX39A",2076,1895,1389,1340,1869,1959
"5259","5585","ENSG00000123143","PKN1",6092,6071,6550,6721,8245,9160
"5410","5731","ENSG00000160951","PTGER1",12,19,16,12,18,19
"9791","10755","ENSG00000123159","GIPC1",4731,4441,3622,3432,4047,4814
"3107","3337","ENSG00000132002","DNAJB1",5812,5546,5706,5373,5883,6609
"8648","9524","ENSG00000099797","TECR",3227,3530,3796,3872,4233,4367
"4479","4713","ENSG00000099795","NDUFB7",1699,1670,1657,1605,1791,2158
"25502","388512","ENSG00000187912","CLEC17A",0,0,0,1,0,1
"55005","106481015","ENSG00000243488","RN7SL337P",0,0,0,0,0,0
"53516","106479529","ENSG00000243066","RN7SL842P",0,0,0,0,0,0
"18167","84658","ENSG00000131355","ADGRE3",0,0,0,0,0,0
"18078","84449","ENSG00000160961","ZNF333",186,180,225,207,283,261
"12906","30817","ENSG00000127507","ADGRE2",80,67,23,14,22,13
"11637","26659","ENSG00000188269","OR7A5",0,0,0,0,0,0
"11639","26664","ENSG00000127530","OR7C1",0,0,0,0,0,0
"26029","390892","ENSG00000127515","OR7A10",0,0,0,0,0,0
