"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NIPAL1",133.065010012594,-0.652558863728578,0.259532389528817,-2.51436387155107,0.0119247328690803,0.033964113297594
"OCIAD2",2451.71186234755,-0.95464903598269,0.0811196954410542,-11.7684001498303,5.6791299851592e-32,1.86835871053608e-30
"SPATA18",297.297547245853,1.5586786126761,0.189015995544149,8.2462788833765,1.63403070932312e-16,2.56095306132739e-15
"SCFD2",1253.2537752122,-1.05393046859921,0.0943863008661372,-11.1661380828341,5.97213878459282e-29,1.77335715480474e-27
"FIP1L1",1384.96172050928,-0.598035812698822,0.0958283737135009,-6.24069666972306,4.35626290794949e-10,4.1977511479441e-09
"PDGFRA",719.087290824298,1.4908005727893,0.127355031667749,11.7058631548896,1.18942661649111e-31,3.85363903338639e-30
"PPAT",747.01489927691,-0.526823726868772,0.117666845676986,-4.47724865774837,7.56111642517123e-06,4.23604031981836e-05
"PAICS",3988.35979905066,-0.529310102745133,0.0653554338103609,-8.09894559465415,5.54375678396264e-16,8.39772325814057e-15
"HOPX",38.2748682123671,1.85336960831923,0.527762648150146,3.5117483490267,0.000445169312407727,0.00183219863602144
"IGFBP7",22326.5477155583,0.934814578638178,0.0517482193453688,18.0646714121544,6.04810145670187e-73,5.37705019983923e-71
"ADGRL3",2145.6826724226,1.07899988716964,0.0800925596969149,13.4719116388935,2.2886291115718e-41,1.00834703275624e-39
"UTP3",833.865123526442,-0.769327557656147,0.120312445036028,-6.39441379007605,1.61164445809533e-10,1.61879768837336e-09
"NPFFR2",20.0011120228334,-1.80312696387912,0.743340506676639,-2.42570793288344,0.0152785605574918,0.0421578755748562
"ADAMTS3",70.1640945312615,-0.978096014942492,0.396987841270554,-2.46379337919295,0.0137475335933297,0.0384807274643876
"AFP",64.2223328293125,0.909566834295017,0.380253721750362,2.39199982082529,0.0167568505575123,0.0456854012038595
"CXCL6",3447.79709186184,2.34997786917572,0.0731083022050438,32.1437893959682,1.07859204359098e-226,5.55512095278442e-224
"CXCL1",2054.82972209108,1.78752053746544,0.0798057810830001,22.3983840920794,4.08114157994337e-111,7.00642880896944e-109
"CXCL5",76.7031608438884,1.09027865341193,0.385443411831068,2.82863481368772,0.00467470075487212,0.01501856968698
"CXCL3",157.797271453532,1.25536014952277,0.272162341095451,4.61254170753366,3.97774695563901e-06,2.33628110615117e-05
"CXCL2",211.555177263954,2.29343975039401,0.24047454828885,9.53714131792112,1.46823693695958e-21,2.99175810237766e-20
"EREG",2265.04656858324,-3.09998329591385,0.0897816257395025,-34.5280370051253,3.04542206359072e-261,2.06756472462687e-258
"AREG",24.2747427766607,-5.20754035942014,0.921264908364398,-5.65259819639233,1.58040455228473e-08,1.28707319481596e-07
"PARM1",35.7896350694876,-1.53518275240582,0.530209297161876,-2.8954278256217,0.00378642090737764,0.0124431205000203
